Ticker,p,d,q,Trend,Window,Val_MAPE,Order
BARC.L,0,0,1,c,126,0.013093102548649416,"(0,0,1)"
BARC.L,0,0,2,c,126,0.013186323893350217,"(0,0,2)"
BARC.L,2,0,1,c,126,0.013200401714614849,"(2,0,1)"
BARC.L,2,0,0,c,126,0.013208164332969638,"(2,0,0)"
BARC.L,3,0,3,c,126,0.013208355305008138,"(3,0,3)"
BARC.L,0,0,1,n,126,0.013215917296619271,"(0,0,1)"
BARC.L,1,0,2,c,126,0.01323308274283353,"(1,0,2)"
BARC.L,0,0,1,c,252,0.013238879276338341,"(0,0,1)"
BARC.L,2,0,1,c,252,0.013252763062579753,"(2,0,1)"
BARC.L,1,0,0,c,252,0.013254734317699215,"(1,0,0)"
BARC.L,1,0,0,c,126,0.013280718821694041,"(1,0,0)"
BARC.L,0,0,1,n,21,0.013296680824145353,"(0,0,1)"
BARC.L,0,0,2,c,252,0.013313522008635701,"(0,0,2)"
BARC.L,3,0,2,c,252,0.013314600756819997,"(3,0,2)"
BARC.L,1,0,1,c,252,0.013315625743079531,"(1,0,1)"
BARC.L,3,0,3,c,252,0.013315927433371242,"(3,0,3)"
BARC.L,2,0,0,c,252,0.013324469663475377,"(2,0,0)"
BARC.L,1,0,1,c,126,0.013328993951524818,"(1,0,1)"
BARC.L,1,0,2,c,252,0.013337036534081734,"(1,0,2)"
BARC.L,1,0,0,c,Full,0.013337307787061351,"(1,0,0)"
BARC.L,0,0,1,c,Full,0.01333981139414924,"(0,0,1)"
BARC.L,3,0,3,c,Full,0.013348913806143134,"(3,0,3)"
BARC.L,3,0,0,c,126,0.013364131510671331,"(3,0,0)"
BARC.L,3,0,0,c,252,0.013366183834285983,"(3,0,0)"
BARC.L,1,0,0,n,126,0.013372542329944812,"(1,0,0)"
BARC.L,2,0,0,n,126,0.013372550714596549,"(2,0,0)"
BARC.L,3,0,1,c,252,0.01337634205249954,"(3,0,1)"
BARC.L,2,0,3,c,Full,0.013378316614924267,"(2,0,3)"
BARC.L,1,0,1,c,Full,0.013381099196190103,"(1,0,1)"
BARC.L,1,0,1,n,126,0.013386525046061533,"(1,0,1)"
BARC.L,1,0,0,n,21,0.013388949568407056,"(1,0,0)"
BARC.L,0,0,1,n,252,0.013397282834802123,"(0,0,1)"
BARC.L,1,0,3,c,Full,0.013400090997962124,"(1,0,3)"
BARC.L,0,0,2,n,126,0.013404895357016673,"(0,0,2)"
BARC.L,1,0,0,n,Full,0.0134073665369155,"(1,0,0)"
BARC.L,1,0,0,n,252,0.01340932532309945,"(1,0,0)"
BARC.L,0,0,1,n,Full,0.013410546045206938,"(0,0,1)"
BARC.L,1,0,2,c,Full,0.013415447601154179,"(1,0,2)"
BARC.L,2,0,2,c,Full,0.013422349397820341,"(2,0,2)"
BARC.L,3,0,3,n,Full,0.013423031450124462,"(3,0,3)"
BARC.L,2,0,2,c,252,0.013423075287925851,"(2,0,2)"
BARC.L,3,0,2,c,Full,0.013431946535098565,"(3,0,2)"
BARC.L,0,0,0,c,252,0.013432208130551728,"(0,0,0)"
BARC.L,2,0,1,c,Full,0.013436870267510366,"(2,0,1)"
BARC.L,2,0,1,n,252,0.013443855558072773,"(2,0,1)"
