Ticker,p,d,q,Trend,Window,Val_MAPE,Order
LLOY.L,2,0,1,c,252,0.01080216263035578,"(2,0,1)"
LLOY.L,2,0,0,c,252,0.010818830087794466,"(2,0,0)"
LLOY.L,1,0,2,c,252,0.010819215025754404,"(1,0,2)"
LLOY.L,2,0,2,c,252,0.010825639876948295,"(2,0,2)"
LLOY.L,1,0,3,c,252,0.010834261334330785,"(1,0,3)"
LLOY.L,0,0,3,c,252,0.010848002757921601,"(0,0,3)"
LLOY.L,3,0,1,c,252,0.010861141919063391,"(3,0,1)"
LLOY.L,2,0,3,c,252,0.010865087882515695,"(2,0,3)"
LLOY.L,3,0,0,c,252,0.01087590753658737,"(3,0,0)"
LLOY.L,0,0,2,c,252,0.010879027620689924,"(0,0,2)"
LLOY.L,3,0,2,c,252,0.010891953537401772,"(3,0,2)"
LLOY.L,1,0,1,c,252,0.010894349592818897,"(1,0,1)"
LLOY.L,0,0,0,c,252,0.01091851752902808,"(0,0,0)"
LLOY.L,0,0,1,c,252,0.010944904452217344,"(0,0,1)"
LLOY.L,2,0,0,n,252,0.010951613976325904,"(2,0,0)"
LLOY.L,1,0,3,n,252,0.010952193338646837,"(1,0,3)"
LLOY.L,2,0,2,n,252,0.010968095180388009,"(2,0,2)"
LLOY.L,2,0,1,n,252,0.010968772935968634,"(2,0,1)"
LLOY.L,2,0,3,n,126,0.010970745301028425,"(2,0,3)"
LLOY.L,1,0,1,n,63,0.01097915105506428,"(1,0,1)"
LLOY.L,1,0,0,c,252,0.010984858723083309,"(1,0,0)"
LLOY.L,0,0,3,n,252,0.01099167698431631,"(0,0,3)"
LLOY.L,1,0,2,n,252,0.011000964687487229,"(1,0,2)"
LLOY.L,2,0,0,c,Full,0.011001292497194214,"(2,0,0)"
LLOY.L,2,0,2,c,Full,0.011004403581940011,"(2,0,2)"
LLOY.L,0,0,2,c,Full,0.011005408760585493,"(0,0,2)"
LLOY.L,0,0,3,c,Full,0.011008811379780943,"(0,0,3)"
LLOY.L,3,0,1,c,Full,0.011017674696575695,"(3,0,1)"
LLOY.L,0,0,2,n,252,0.011017749157958284,"(0,0,2)"
LLOY.L,3,0,0,c,Full,0.01101778941231948,"(3,0,0)"
LLOY.L,2,0,1,c,Full,0.011018267384921673,"(2,0,1)"
LLOY.L,2,0,3,n,252,0.011024213030765409,"(2,0,3)"
LLOY.L,3,0,2,c,Full,0.01102529814733396,"(3,0,2)"
LLOY.L,3,0,0,n,252,0.011025681949377105,"(3,0,0)"
LLOY.L,1,0,2,c,Full,0.011025692662923537,"(1,0,2)"
LLOY.L,1,0,3,c,Full,0.011027525661426259,"(1,0,3)"
LLOY.L,1,0,2,n,126,0.011028503734322032,"(1,0,2)"
LLOY.L,3,0,1,n,252,0.011031749614553677,"(3,0,1)"
LLOY.L,1,0,1,c,Full,0.011036526948581683,"(1,0,1)"
LLOY.L,0,0,0,c,Full,0.011037268557110699,"(0,0,0)"
LLOY.L,1,0,2,c,126,0.011046148095293756,"(1,0,2)"
LLOY.L,0,0,3,n,126,0.011064336713764378,"(0,0,3)"
LLOY.L,2,0,2,n,126,0.011076688548847398,"(2,0,2)"
LLOY.L,0,0,3,c,126,0.011084210637611277,"(0,0,3)"
LLOY.L,3,0,2,n,252,0.011087737585627718,"(3,0,2)"
LLOY.L,1,0,1,n,252,0.011090819194927711,"(1,0,1)"
LLOY.L,2,0,0,n,63,0.011093326223386886,"(2,0,0)"
LLOY.L,2,0,0,n,126,0.011098910535146741,"(2,0,0)"
LLOY.L,0,0,0,n,252,0.011110464542711336,"(0,0,0)"
LLOY.L,0,0,0,n,126,0.011110464542711336,"(0,0,0)"
LLOY.L,0,0,0,n,21,0.011110464542711336,"(0,0,0)"
LLOY.L,0,0,0,n,Full,0.011110464542711336,"(0,0,0)"
LLOY.L,0,0,0,n,63,0.011110464542711336,"(0,0,0)"
LLOY.L,3,0,1,n,126,0.011113225358657962,"(3,0,1)"
LLOY.L,2,0,2,n,Full,0.011113930982347824,"(2,0,2)"
LLOY.L,0,0,3,n,Full,0.011114790685039476,"(0,0,3)"
LLOY.L,2,0,0,n,Full,0.011118207432584458,"(2,0,0)"
LLOY.L,3,0,3,c,252,0.011119850697468457,"(3,0,3)"
LLOY.L,0,0,2,n,Full,0.01112180282212953,"(0,0,2)"
LLOY.L,1,0,3,n,Full,0.011132662781180134,"(1,0,3)"
LLOY.L,3,0,1,n,Full,0.011134541072079089,"(3,0,1)"
LLOY.L,3,0,0,n,Full,0.011134703847249709,"(3,0,0)"
