Ticker,lookback,units,layers,dropout,lr,batch_size,val_rmse_logret
BARC.L,21,64,2,0.3,0.0005,32,0.10193130934514934
BARC.L,21,64,2,0.2,0.0005,32,0.1021524897984591
BARC.L,21,32,1,0.2,0.0005,32,0.10260307647045482
BARC.L,21,32,2,0.3,0.0005,32,0.10283125415492207
BARC.L,21,64,2,0.2,0.001,32,0.10292743759993982
BARC.L,21,64,1,0.5,0.001,32,0.10309257615329043
BARC.L,21,32,2,0.3,0.001,32,0.10320953686742237
BARC.L,21,64,1,0.3,0.0005,32,0.10349877214663304
BARC.L,21,32,1,0.3,0.001,32,0.10410684436967252
BARC.L,126,128,2,0.3,0.001,32,0.10572458240201105
BARC.L,126,128,1,0.2,0.001,32,0.10584291124861223
BARC.L,126,96,2,0.3,0.001,64,0.10598532442576805
BARC.L,126,128,1,0.5,0.001,32,0.10599289235161914
BARC.L,126,128,2,0.2,0.001,64,0.10603524905312345
BARC.L,126,96,2,0.3,0.0005,64,0.1060739037365528
BARC.L,126,128,1,0.2,0.0005,32,0.10610130104897773
BARC.L,126,128,2,0.2,0.001,32,0.10635611859233943
BARC.L,126,96,1,0.2,0.001,32,0.10656613973696845
BARC.L,63,64,2,0.3,0.0005,32,0.10658796067963021
BARC.L,126,128,1,0.2,0.001,64,0.10664142721371883
BARC.L,126,96,1,0.3,0.0005,32,0.10673000362915247
BARC.L,63,64,2,0.3,0.0005,64,0.10678260380060298
BARC.L,126,128,2,0.5,0.001,32,0.10703453523988568
BARC.L,126,128,1,0.5,0.0005,32,0.10720397878341811
BARC.L,126,96,1,0.5,0.0005,32,0.10730209864833194
BARC.L,21,32,1,0.2,0.001,64,0.10734325698678551
BARC.L,126,128,1,0.3,0.0005,32,0.10735412241173987
BARC.L,21,64,2,0.2,0.0005,64,0.1076367654687083
BARC.L,126,96,2,0.5,0.0005,64,0.10765063119799308
BARC.L,63,64,2,0.2,0.0005,64,0.10829082653974624
BARC.L,63,96,1,0.5,0.001,64,0.10846761278770449
BARC.L,126,128,1,0.2,0.0005,64,0.10854255058397728
BARC.L,126,96,2,0.2,0.0005,32,0.10869649903450893
BARC.L,126,96,1,0.5,0.0005,64,0.1091313988961266
BARC.L,63,64,1,0.5,0.001,32,0.10928755074892552
BARC.L,63,64,2,0.2,0.001,32,0.10964027468345927
BARC.L,63,96,1,0.2,0.0005,32,0.10966972017122154
BARC.L,126,128,1,0.3,0.0005,64,0.11032971438136241
BARC.L,63,64,2,0.5,0.0005,64,0.11046568344637675
BARC.L,63,64,1,0.2,0.0005,64,0.11046599596212058
BARC.L,126,128,1,0.5,0.0005,64,0.11064694416352595
BARC.L,63,96,1,0.3,0.0005,32,0.11066379714632535
BARC.L,63,96,1,0.2,0.001,32,0.11091358022910613
BARC.L,21,64,2,0.3,0.001,64,0.11119622076524377
BARC.L,63,64,2,0.3,0.001,32,0.11179994514971804
BARC.L,63,96,2,0.5,0.001,32,0.11183090840400757
BARC.L,63,64,2,0.2,0.001,64,0.11194985297032743
BARC.L,21,64,1,0.2,0.001,64,0.11279026003697097
BARC.L,63,96,2,0.2,0.0005,32,0.1131960235886703
BARC.L,63,64,2,0.3,0.001,64,0.11408552085545855
