Ticker,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_samples,param_ccp_alpha,mean_test_score,rank_test_score,Val_RMSE_LogRet
BARC.L,300,8,40,2,0.3,0.5,0.0001,-0.00038184477721472747,1,0.019540848937923027
BARC.L,300,8,5,20,0.5,0.5,0.001,-0.00038184477721472747,1,0.019540848937923027
BARC.L,300,12,20,10,0.7,0.7,0.01,-0.00038186122337636975,3,0.019541269748313946
BARC.L,800,20,2,5,0.7,0.5,0.001,-0.0003819133454128289,4,0.019542603342769582
BARC.L,800,20,2,1,0.7,0.9,0.01,-0.00038193449740323265,5,0.019543144511649926
BARC.L,800,20,40,1,0.7,0.9,0.01,-0.00038193449740323265,5,0.019543144511649926
BARC.L,800,20,5,20,sqrt,0.9,0.01,-0.00038193449740323265,5,0.019543144511649926
BARC.L,800,,5,1,0.3,0.9,0.01,-0.00038193449740323265,5,0.019543144511649926
BARC.L,800,12,5,5,0.7,0.5,0.0001,-0.0003819404534691435,9,0.019543296893542388
BARC.L,300,20,20,20,log2,0.9,0.001,-0.00038195199246539877,10,0.019543592107527184
BARC.L,1200,,5,20,0.7,0.5,0.01,-0.0003819562781351486,11,0.019543701751079518
BARC.L,300,8,2,20,0.7,0.9,0.0001,-0.0003819592830127798,12,0.019543778626785042
BARC.L,1200,3,40,1,0.5,0.9,0.001,-0.00038195937011937815,13,0.019543780855284326
BARC.L,1200,5,2,1,0.5,0.9,0.0001,-0.000381961852081379,14,0.01954384435266969
BARC.L,1200,20,20,5,sqrt,0.7,0.0001,-0.000381962925575466,15,0.019543871816389558
BARC.L,1200,,10,10,0.5,0.7,0.0001,-0.00038197107477113947,16,0.019544080299956287
BARC.L,1200,,2,2,0.5,0.5,0.0001,-0.0003819731203028642,17,0.019544132631121397
BARC.L,3000,3,20,1,sqrt,0.7,0.0001,-0.00038197723979763653,18,0.01954423802038945
BARC.L,3000,5,20,5,0.7,0.5,0.01,-0.0003819808713740228,19,0.019544330926742487
BARC.L,3000,20,5,5,sqrt,0.7,0.01,-0.0003819823726396381,20,0.01954436933338188
BARC.L,3000,3,5,2,sqrt,0.5,0.0001,-0.0003819841393590421,21,0.01954441453098665
BARC.L,2000,12,20,5,log2,0.7,0.001,-0.0003819953996599004,22,0.019544702598399914
BARC.L,2000,,40,5,sqrt,0.7,0.01,-0.0003819953996599004,22,0.019544702598399914
BARC.L,2000,8,10,5,0.7,0.7,0.01,-0.0003819953996599004,22,0.019544702598399914
BARC.L,2000,5,5,2,0.5,0.7,0.001,-0.0003819953996599004,22,0.019544702598399914
BARC.L,2000,5,40,1,sqrt,0.7,0.01,-0.0003819953996599004,22,0.019544702598399914
BARC.L,3000,8,20,5,sqrt,0.9,0.01,-0.00038199755412149345,27,0.019544757714576394
BARC.L,3000,20,20,1,0.3,0.9,0.0001,-0.00038199864404961847,28,0.01954478559743285
BARC.L,2000,8,40,1,0.3,0.9,0.0001,-0.00038201980263198436,29,0.019545326874523854
BARC.L,2000,8,5,2,log2,0.9,0.01,-0.00038201980263198436,29,0.019545326874523854
BARC.L,2000,20,20,20,sqrt,0.9,0.0001,-0.00038201980263198436,29,0.019545326874523854
BARC.L,2000,12,20,5,log2,0.9,0.0001,-0.00038201980263198436,29,0.019545326874523854
BARC.L,300,3,10,20,0.3,0.5,0.0,-0.0003888864989694652,33,0.019720205348055207
BARC.L,3000,3,20,1,0.3,0.5,0.0,-0.0003897996340036639,34,0.019743344043086114
BARC.L,1200,5,40,20,0.3,0.5,0.0,-0.0003899327445545911,35,0.0197467147787826
BARC.L,1200,5,10,20,log2,0.9,0.0,-0.0003913081503738528,36,0.019781510315793706
BARC.L,3000,3,10,5,sqrt,0.7,0.0,-0.00039140750095655356,37,0.01978402135453138
BARC.L,1200,3,20,1,0.5,0.7,0.0,-0.00039217932387868113,38,0.01980351796723706
BARC.L,3000,5,40,1,sqrt,0.5,0.0,-0.0003923151377214575,39,0.019806946703655702
BARC.L,300,3,10,5,0.7,0.7,0.0,-0.0003955727102541393,40,0.01988900978566151
BARC.L,2000,5,5,5,log2,0.7,0.0,-0.0003969939949857456,41,0.019924708153088357
BARC.L,800,12,40,1,0.3,0.5,0.0,-0.0004008441119790093,42,0.020021091678003207
BARC.L,800,5,5,5,0.7,0.7,0.0,-0.0004047779818722166,43,0.020119094956588295
BARC.L,300,8,20,1,sqrt,0.7,0.0,-0.0004052798988213562,44,0.020131564738523337
BARC.L,2000,20,5,5,0.3,0.7,0.0,-0.0004064759159768036,45,0.02016124787747037
BARC.L,800,8,10,5,0.7,0.5,0.0,-0.0004074190549751805,46,0.02018462422179765
BARC.L,300,12,20,1,log2,0.9,0.0,-0.0004108545439627345,47,0.020269547206653003
BARC.L,1200,20,20,2,0.5,0.7,0.0,-0.0004145901048489816,48,0.020361485821250414
BARC.L,800,,20,1,0.7,0.7,0.0,-0.00042265393653906645,49,0.020558548989144793
BARC.L,1200,,2,1,0.5,0.7,0.0,-0.00043251579420574144,50,0.0207970140694702
