Ticker,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_samples,param_ccp_alpha,mean_test_score,rank_test_score,Val_RMSE_LogRet
HSBA.L,300,8,40,2,0.3,0.5,0.0001,-0.00023250393309364755,1,0.015248079652652905
HSBA.L,300,8,5,20,0.5,0.5,0.001,-0.00023254802590397017,2,0.015249525432090343
HSBA.L,800,12,5,5,0.7,0.5,0.0001,-0.00023256433936887335,3,0.015250060307056931
HSBA.L,300,12,20,10,0.7,0.7,0.01,-0.00023257506166918284,4,0.015250411852444603
HSBA.L,1200,,2,2,0.5,0.5,0.0001,-0.00023257646130437127,5,0.015250457740814577
HSBA.L,800,20,2,5,0.7,0.5,0.001,-0.00023258112013512146,6,0.015250610484014122
HSBA.L,800,,5,1,0.3,0.9,0.01,-0.00023258255088452108,7,0.015250657391880557
HSBA.L,800,20,40,1,0.7,0.9,0.01,-0.00023258255088452108,7,0.015250657391880557
HSBA.L,800,20,5,20,sqrt,0.9,0.01,-0.00023258255088452108,7,0.015250657391880557
HSBA.L,800,20,2,1,0.7,0.9,0.01,-0.00023258255088452108,7,0.015250657391880557
HSBA.L,300,20,20,20,log2,0.9,0.001,-0.0002325919975788786,11,0.015250967103068532
HSBA.L,300,8,2,20,0.7,0.9,0.0001,-0.0002325919975788786,11,0.015250967103068532
HSBA.L,1200,3,40,1,0.5,0.9,0.001,-0.00023259470523545963,13,0.015251055872806304
HSBA.L,1200,5,2,1,0.5,0.9,0.0001,-0.00023259470523545963,13,0.015251055872806304
HSBA.L,3000,20,5,5,sqrt,0.7,0.01,-0.00023259607718682093,15,0.015251100851637594
HSBA.L,3000,3,20,1,sqrt,0.7,0.0001,-0.00023259607718682093,15,0.015251100851637594
HSBA.L,3000,20,20,1,0.3,0.9,0.0001,-0.00023259711138559698,17,0.015251134757308946
HSBA.L,3000,8,20,5,sqrt,0.9,0.01,-0.00023259711138559698,17,0.015251134757308946
HSBA.L,3000,3,5,2,sqrt,0.5,0.0001,-0.00023259737866202995,19,0.015251143519816143
HSBA.L,2000,12,20,5,log2,0.9,0.0001,-0.00023259877618396602,20,0.015251189336703089
HSBA.L,2000,8,5,2,log2,0.9,0.01,-0.00023259877618396602,20,0.015251189336703089
HSBA.L,2000,8,40,1,0.3,0.9,0.0001,-0.00023259877618396602,20,0.015251189336703089
HSBA.L,2000,20,20,20,sqrt,0.9,0.0001,-0.00023259877618396602,20,0.015251189336703089
HSBA.L,2000,,40,5,sqrt,0.7,0.01,-0.00023259881667085612,24,0.015251190664038534
HSBA.L,2000,5,5,2,0.5,0.7,0.001,-0.00023259881667085612,24,0.015251190664038534
HSBA.L,2000,12,20,5,log2,0.7,0.001,-0.00023259881667085612,24,0.015251190664038534
HSBA.L,2000,8,10,5,0.7,0.7,0.01,-0.00023259881667085612,24,0.015251190664038534
HSBA.L,2000,5,40,1,sqrt,0.7,0.01,-0.00023259881667085612,24,0.015251190664038534
HSBA.L,1200,,10,10,0.5,0.7,0.0001,-0.00023260048252355937,29,0.015251245277798118
HSBA.L,1200,20,20,5,sqrt,0.7,0.0001,-0.00023260048252355937,29,0.015251245277798118
HSBA.L,1200,,5,20,0.7,0.5,0.01,-0.00023260130436995297,31,0.015251272221357567
HSBA.L,3000,5,20,5,0.7,0.5,0.01,-0.00023260193009043873,32,0.01525129273505819
HSBA.L,300,3,10,20,0.3,0.5,0.0,-0.00023826457244148242,33,0.01543582108089759
HSBA.L,1200,5,40,20,0.3,0.5,0.0,-0.00023889763038736678,34,0.015456313609246118
HSBA.L,1200,5,10,20,log2,0.9,0.0,-0.0002389870561565552,35,0.015459206194257039
HSBA.L,3000,3,10,5,sqrt,0.7,0.0,-0.0002392831394526616,36,0.015468779507532636
HSBA.L,2000,5,5,5,log2,0.7,0.0,-0.0002452004621374317,37,0.015658878061260702
HSBA.L,300,3,10,5,0.7,0.7,0.0,-0.0002470717466644881,38,0.01571851604524066
HSBA.L,3000,3,20,1,0.3,0.5,0.0,-0.00024834563308914493,39,0.015758985788722094
HSBA.L,2000,20,5,5,0.3,0.7,0.0,-0.0002515117042387138,40,0.01585912053799686
HSBA.L,3000,5,40,1,sqrt,0.5,0.0,-0.0002515433979138408,41,0.01586011973201466
HSBA.L,800,8,10,5,0.7,0.5,0.0,-0.00025410986565349515,42,0.015940823869972816
HSBA.L,800,5,5,5,0.7,0.7,0.0,-0.000254235617473343,43,0.01594476771462485
HSBA.L,800,12,40,1,0.3,0.5,0.0,-0.00026319137730735357,44,0.016223174082384544
HSBA.L,1200,3,20,1,0.5,0.7,0.0,-0.0002679387142061402,45,0.016368833623876203
HSBA.L,300,8,20,1,sqrt,0.7,0.0,-0.0002717715976852771,46,0.01648549658594721
HSBA.L,1200,20,20,2,0.5,0.7,0.0,-0.00027273196590068486,47,0.01651459856916555
HSBA.L,300,12,20,1,log2,0.9,0.0,-0.0002887742060031451,48,0.016993357702442008
HSBA.L,800,,20,1,0.7,0.7,0.0,-0.00031459545588547675,49,0.01773683894851269
HSBA.L,1200,,2,1,0.5,0.7,0.0,-0.00032167387553257767,50,0.017935269039871627
