Ticker,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_samples,param_ccp_alpha,mean_test_score,rank_test_score,Val_RMSE_LogRet
LLOY.L,1200,,2,2,0.5,0.5,0.0001,-0.0002896336021411048,1,0.017018625154256874
LLOY.L,1200,5,2,1,0.5,0.9,0.0001,-0.0002897301680303944,2,0.017021461982755604
LLOY.L,3000,3,5,2,sqrt,0.5,0.0001,-0.00028976113174079783,3,0.017022371507542593
LLOY.L,300,8,2,20,0.7,0.9,0.0001,-0.00028976387330582236,4,0.01702245203564464
LLOY.L,300,20,20,20,log2,0.9,0.001,-0.00028976387330582236,4,0.01702245203564464
LLOY.L,800,12,5,5,0.7,0.5,0.0001,-0.0002897714679369042,6,0.017022675111065953
LLOY.L,3000,20,20,1,0.3,0.9,0.0001,-0.00028978249852899655,7,0.01702299910500487
LLOY.L,3000,5,20,5,0.7,0.5,0.01,-0.00028978408875231275,8,0.017023045813023965
LLOY.L,1200,3,40,1,0.5,0.9,0.001,-0.0002897873039699386,9,0.01702314024996383
LLOY.L,800,20,5,20,sqrt,0.9,0.01,-0.0002897876094525323,10,0.017023149222530252
LLOY.L,800,20,2,1,0.7,0.9,0.01,-0.0002897876094525323,10,0.017023149222530252
LLOY.L,800,20,40,1,0.7,0.9,0.01,-0.0002897876094525323,10,0.017023149222530252
LLOY.L,800,,5,1,0.3,0.9,0.01,-0.0002897876094525323,10,0.017023149222530252
LLOY.L,300,12,20,10,0.7,0.7,0.01,-0.00028978985513555903,14,0.0170232151820847
LLOY.L,3000,8,20,5,sqrt,0.9,0.01,-0.00028979330815805533,15,0.017023316602767374
LLOY.L,1200,,5,20,0.7,0.5,0.01,-0.00028979557538308,16,0.01702338319439118
LLOY.L,3000,3,20,1,sqrt,0.7,0.0001,-0.0002897968503560374,17,0.017023420642045987
LLOY.L,800,20,2,5,0.7,0.5,0.001,-0.00028979772739332613,18,0.017023446401752088
LLOY.L,1200,,10,10,0.5,0.7,0.0001,-0.0002897988669608604,19,0.01702347987224881
LLOY.L,3000,20,5,5,sqrt,0.7,0.01,-0.00028979899033319524,20,0.017023483495841714
LLOY.L,2000,8,40,1,0.3,0.9,0.0001,-0.00028980408975064,21,0.01702363327115102
LLOY.L,300,8,5,20,0.5,0.5,0.001,-0.0002898052612729942,22,0.017023667679821355
LLOY.L,300,8,40,2,0.3,0.5,0.0001,-0.0002898059499139724,23,0.017023687905796805
LLOY.L,2000,,40,5,sqrt,0.7,0.01,-0.0002898085709532916,24,0.017023764887747116
LLOY.L,2000,5,40,1,sqrt,0.7,0.01,-0.0002898085709532916,24,0.017023764887747116
LLOY.L,2000,8,10,5,0.7,0.7,0.01,-0.0002898085709532916,24,0.017023764887747116
LLOY.L,2000,12,20,5,log2,0.7,0.001,-0.0002898085709532916,24,0.017023764887747116
LLOY.L,2000,5,5,2,0.5,0.7,0.001,-0.0002898085709532916,24,0.017023764887747116
LLOY.L,1200,20,20,5,sqrt,0.7,0.0001,-0.00028980878744418756,29,0.01702377124623647
LLOY.L,2000,12,20,5,log2,0.9,0.0001,-0.000289810303198501,30,0.017023815764936515
LLOY.L,2000,8,5,2,log2,0.9,0.01,-0.000289810303198501,30,0.017023815764936515
LLOY.L,2000,20,20,20,sqrt,0.9,0.0001,-0.000289810303198501,30,0.017023815764936515
LLOY.L,3000,3,10,5,sqrt,0.7,0.0,-0.00029283598586093024,33,0.017112451193821716
LLOY.L,300,3,10,20,0.3,0.5,0.0,-0.00029294961250431385,34,0.017115770870875603
LLOY.L,1200,5,40,20,0.3,0.5,0.0,-0.0002940520023982733,35,0.01714794455316069
LLOY.L,3000,3,20,1,0.3,0.5,0.0,-0.0002941812186364658,36,0.017151711828166476
LLOY.L,1200,5,10,20,log2,0.9,0.0,-0.0002946726956508341,37,0.017166033194970644
LLOY.L,300,3,10,5,0.7,0.7,0.0,-0.0002964074587882126,38,0.01721648799227684
LLOY.L,3000,5,40,1,sqrt,0.5,0.0,-0.0002968604709609976,39,0.017229639316044827
LLOY.L,2000,5,5,5,log2,0.7,0.0,-0.00029721162946530797,40,0.017239826839771565
LLOY.L,1200,3,20,1,0.5,0.7,0.0,-0.00029774180698545266,41,0.017255196521206377
LLOY.L,800,5,5,5,0.7,0.7,0.0,-0.0003051349246316694,42,0.017468111650423734
LLOY.L,2000,20,5,5,0.3,0.7,0.0,-0.00030593613830858635,43,0.017491030224334597
LLOY.L,800,12,40,1,0.3,0.5,0.0,-0.0003062703942667552,44,0.017500582683635284
LLOY.L,800,8,10,5,0.7,0.5,0.0,-0.0003070581095756222,45,0.017523073633801296
LLOY.L,300,8,20,1,sqrt,0.7,0.0,-0.0003091579095857095,46,0.017582886838790425
LLOY.L,300,12,20,1,log2,0.9,0.0,-0.00032126810012113414,47,0.01792395325036121
LLOY.L,1200,20,20,2,0.5,0.7,0.0,-0.00032197800589870253,48,0.017943745592788104
LLOY.L,800,,20,1,0.7,0.7,0.0,-0.0003456945946808401,49,0.0185928640795559
LLOY.L,1200,,2,1,0.5,0.7,0.0,-0.0003554132494754705,50,0.018852406994213512
